Oranges,Ounce,13,0,3,3,0
Frosted Flakes,Cup,229,1,55,22,2
Froot Loops,Cup,143,1.5,33,16,2
Lucky Charms,Cup,144,2,31,14,3
Cheerios,Cup,113,2,22,1,4
Bananas,Banana,179,0.5,46,25,2
Cinnamon Toast Crunch,Cup,205,5,39,15,3
Honey Nut Cheerios,Cup,165,2,35,15,4
Cocoa Puffs,1 Cup,176,2.5,38,17,3
Donuts,Each,229,13,23,< 1,4
Oatmeal,4z Portion,77,1.5,14,0,3
Scrambled Eggs,4z Portion,182,12,< 1,0,15
Hard Boiled Eggs,1 Egg,91,6,0,0,8
Fresh Fruit,.4z Portion,40,0,10,7,0
Apple Red Delicious Fancy 125ct,Each,75,0,20,15,0
Rice Chex,Cup,172,0.5,39,4,3
French Toast,1 Slice,263,10,33,10,10
Yogurt LF Original Blbry PF,6z,160,1.5,31,0,5
Yogurt LF Original Strbry PF,6z,160,1.5,33,0,5
Yogurt LF Original Vanilla PF,6z,157,1.5,30,0,6
Potatoes OBrien,4z portion,107,0.5,23,2,3
Southwest Tofu Scramble,3z Portion,92,6,5,< 1,5
Sausage Maple Links Cooked DH,2 Links,200,19,2,0,6
Muffin Bakers Choice 3z NDB,Nutrition Varies,279,12,38,20,4
-,-,-,-,-,-,-
Oranges,Ounce,13,0,3,3,0
Shredded Iceberg Lettuce,Ounce,4,0,< 1,< 1,0
Cocoa Krispies Bar,72 cut pc,162,5,27,5,1
Bananas,Banana,179,0.5,46,25,2
Pickle Dill Slices,Slices,0,0,0,0,0
Gorgonzola Sauce,1Flz Portion,98,2.5,1,0,9
Bakers Choice Cookie,Nutrition Varies,179,8,24,18,2
Grilled Cheese on White,Sandwich,349,25,20,0,9
Pepperoni Pizza,Piece,156,6,20,1,7
Cheese Pizza,Piece,134,3.5,20,1,6
Beef Mongolian,3.95z Portion,206,8,5,1,25
Meatballs,Meatball,45,3.5,1,0,2
Edamame,Ounce,40,2,3,0,4
Chicken Quesadilla,1/2 Quesadilla,143,6,14,0,6
Char-Grilled Chicken Breast,3.25z Portion,73,1,0,0,16
Fresh Fruit,.4z Portion,40,0,10,7,0
Marinade Cucumber,3z Portion,58,1,11,0,0
Apple Red Delicious Fancy 125ct,Each,75,0,20,15,0
Chips Snack Var Pk Frito Lay,Bags,202,13,19,0,2
Cheese Quesadilla,3-Cut Piece,115,6,10,0,5
Steamed Brown Rice,4z Portion,148,1,32,0,3
Salad Tom Basil Couscous,3z Portion,116,6,13,2,2
Steamed Long Grain Rice,4z Portion,150,0,32,0,3
Marinated Tofu,4z Portion,119,8,4,2,9
Mediterranean Pita Chips,1 oz portion,71,1.5,13,0,2
Broccoli Florets,4z Portion,34,0,6,2,4
Salad Quinoa,3z Portion,136,7,13,0,4
Steamed Quinoa,2z Portion,88,1.5,15,0,3
Sour Cream,Tablespoon,28,2.5,0,0,0
Sliced Red Onion,Ounce,11,0,3,1,0
Sliced Tomatoes,Ounce,5,0,1,< 1,0
Vegetarian Taco Pizza,slice,210,6,27,1,11
Cavatappi Pasta,1/2 Cup,215,5,35,< 1,7
Thai Spring Rolls,1z Spring Roll,37,0,8,< 1,1
Fire Roasted Edamame Salad,3z Portion,98,5,8,2,5
Vegetable Yaki Soba,6z Portion,279,9,42,6,10
Cheese Vegan Mozz Style Shrd,Ounce,91,6,7,0,1
Egg Rolls Fried DH,2 Egg Rolls,190,6,30,6,4
Garden Salad,Salad,29,0,6,3,1
Roasted Red Pepper Hummus,3z Cup,111,2,18,4,6
Sour Cream,1z,,,,,
Boom Boom Chicken Salad SO,Salad,653,36,50,2,31
Spaghetti,4z Portion,236,5,39,2,7
Field Roast Vegan Burger,3.25z,240,12,12,0,21
Creamy Tomato Soup,6 Flz,53,1.5,8,5,2
Sauce Marinara DH Svc,6 Flz Portion,95,4,15,8,3
-,-,-,-,-,-,-
Oranges,Ounce,13,0,3,3,0
Shredded Iceberg Lettuce,Ounce,4,0,< 1,< 1,0
Bananas,Banana,179,0.5,46,25,2
Pickle Dill Slices,Slices,0,0,0,0,0
Gorgonzola Sauce,1Flz Portion,98,2.5,1,0,9
Grilled Cheese on White,Sandwich,349,25,20,0,9
Breaded Chicken Fillet,Patty+Roll,372,19,32,0,16
Pepperoni Pizza,Piece,156,6,20,1,7
Cheese Pizza,Piece,134,3.5,20,1,6
Black Bean Sweet Potato Burrito,1 Burrito,537,11,99,46,8
Grilled Red Onion Slices,1.63z Portion,58,4.5,4,2,< 1
Meatballs,Meatball,45,3.5,1,0,2
Edamame,Ounce,40,2,3,0,4
Pico de Gallo,2z Portion,16,0,3,2,< 1
Char-Grilled Chicken Breast,3.25z Portion,73,1,0,0,16
Fresh Fruit,.4z Portion,40,0,10,7,0
Char-Grilled Zucchini Slices,1.14z Portion,78,8,< 1,0,0
Marinade Cucumber,3z Portion,58,1,11,0,0
Butternut Squash Tortellini,4z Portion,256,6,26,2,16
Apple Red Delicious Fancy 125ct,Each,75,0,20,15,0
Chips Snack Var Pk Frito Lay,Bags,202,13,19,0,2
Steamed Brown Rice,4z Portion,148,1,32,0,3
Salad Tom Basil Couscous,3z Portion,116,6,13,2,2
Marinated Tofu,4z Portion,119,8,4,2,9
Mediterranean Pita Chips,1 oz portion,71,1.5,13,0,2
Vegetarian Refried Beans,Ounce,109,1,18,0,6
Vegetarian Refried Beans,Ounce,109,1,18,0,6
Mexican Blend Cheese,Ounce,101,8,0,0,7
Broccoli Florets,4z Portion,34,0,6,2,4
Spaghettini Primo Gusto,Ounce,106,0.5,21,1,3
Grilled Chicken Parmigiana,6.5z Portion,177,6,5,3,25
Salad Quinoa,3z Portion,136,7,13,0,4
Salad Hawaiian Delight,Ounce,,,,,
Steamed Vegetable of the Day,5z Portion,68,1,12,< 1,3
Steamed Quinoa,2z Portion,88,1.5,15,0,3
Sour Cream,Tablespoon,28,2.5,0,0,0
Lemon Parmesan Tilapia,4.5z Portion,266,14,3,0,30
Sliced Red Onion,Ounce,11,0,3,1,0
Sliced Tomatoes,Ounce,5,0,1,< 1,0
Vegetarian Taco Pizza,slice,210,6,27,1,11
Cavatappi Pasta,1/2 Cup,215,5,35,< 1,7
Thick Cut French Fries,3z,130,3.5,21,0,2
Chicken Cheese Crispito,Crispito,180,7,22,0,9
Mexican Rice,1z Portion,36,0,8,0,< 1
Fire Roasted Edamame Salad,3z Portion,98,5,8,2,5
Cheese Vegan Mozz Style Shrd,Ounce,91,6,7,0,1
Garden Salad,Salad,29,0,6,3,1
Roasted Red Pepper Hummus,3z Cup,111,2,18,4,6
Reeses Cake Cup NDB,CUPS,256,14,31,16,3
Coconut Cream Pie Cup,Each,309,16,39,13,4
Field Roast Vegan Burger,3.25z,240,12,12,0,21
Creamy Tomato Soup,6 Flz,53,1.5,8,5,2
Sauce Marinara DH Svc,6 Flz Portion,95,4,15,8,3
Beef Mushroom Burger DH,Patties,219,18,< 1,0,13
Beef Mushroom & Cheese Burger,Sandwich,426,25,28,0,20
-,-,-,-,-,-,-
